,media,mediana,inter_linear,inter_cubic,inter_slinear,inter_akima,inter_poly5,inter_spline5,knn,media_movel_3,real,pix
0,,,,,,,,,,,70.90000139474868,59.420894193649296
1,,,,,,,,,,,73.70000004768372,55.89167255163193
2,,,,,,,,,,,77.90000092983246,51.49791188836098
3,,,,,,,,,,,80.49999949932098,45.579425437748434
4,,,,,,,,,,,80.19999957680703,45.31756074950099
5,,,,,,,,,,,79.7,43.947685074806216
6,,,,,,,,,,,78.8000007033348,47.84666831195354
7,,,,,,,,,,,78.7000005722046,52.71932013034821
8,,,,,,,,,,,78.3999997496605,54.33855368494987
9,,,,,,,,,,,78.40000042915344,53.82762602567673
10,,,,,,,,,,,78.40000010728836,44.433678910881284
11,,,,,,,,,,,78.49999918937684,43.165394720435145
12,,,,,,,,,,,78.80000054836273,41.414513770863415
13,,,,,,,,,,,78.8,42.5339064642787
14,,,,,,,,,,,79.0,44.37394295930863
15,,,,,,,,,,,79.3,52.003847813606264
16,,,,,,,,,,,79.3,50.33637290298938
17,,,,,,,,,,,79.09999990463257,47.66526852399111
18,,,,,,,,,,,25.0,48.04030618667603
19,,,,,,,,,,,38.1,44.7481756195426
20,,,,,,,,,,,48.4000000089407,44.0123130440712
21,,,,,,,,,,,55.60000018179417,47.83586847186089
22,,,,,,,,,,,59.1000000745058,52.27741175889969
23,,,,,,,,,,,57.90000047087669,59.51901034712792
24,,,,,,,,,,,53.599999892711644,58.34326985776425
25,,,,,,,,,,,46.89999971389771,56.41632940471172
26,,,,,,,,,,,42.6999999852851,53.62610202431679
27,,,,,,,,,,,43.29999993667006,47.76348110437394
28,,,,,,,,,,,45.600000007450575,46.50567009449005
29,,,,,,,,,,,47.69999969750643,49.264326523244385
30,,,,,,,,,,,49.000000295042994,54.185729584097864
31,,,,,,,,,,,46.100000226497656,55.75271908044815
32,,,,,,,,,,,46.10000028908253,53.232258525490764
33,,,,,,,,,,,46.099999994039536,51.84656196832657
34,,,,,,,,,,,46.10000002086163,49.941674643754965
35,,,,,,,,,,,46.09999994784594,44.55860472917557
36,,,,,,,,,,,46.10000002086163,47.240500909090045
37,,,,,,,,,,,46.09999986886978,54.41680387258529
38,,,,,,,,,,,46.099999982118604,60.87747528553008
39,,,,,,,,,,,45.60000005289912,67.82604436874391
40,,,,,,,,,,,45.099999874085185,58.23374401032925
41,,,,,,,,,,,44.59999988898635,57.361523032188416
42,,,,,,,,,,,43.99999923408031,56.68321408629418
43,,,,,,,,,,,44.0000000551343,48.903859998285775
44,,,,,,,,,,,43.80000000484288,53.45799031853676
45,,,,,,,,,,,43.40000001564622,52.57591350674629
46,,,,,,,,,,,43.300000011175875,49.73904508054257
47,,,,,,,,,,,42.70000003501773,52.70648028552532
48,,,,,,,,,,,42.400000002607705,61.78533126115799
49,,,,,,,,,,,42.19999999776483,68.90694837570192
50,,,,,,,,,,,41.89999998519197,61.26301221847534
51,,,,,,,,,,,41.6999999852851,58.56623786091805
52,,,,,,,,,,,41.6999999254942,58.84320862293244
53,,,,,,,,,,,41.700000032782555,57.048140668869024
54,,,,,,,,,,,41.700000029802325,58.95713896751404
55,,,,,,,,,,,41.699999961256985,61.26475920677185
56,,,,,,,,,,,41.69999993331731,62.88748137950897
57,,,,,,,,,,,41.70000002011657,61.009302866458896
58,,,,,,,,,,,41.69999993331731,56.43072526454925
59,,,,,,,,,,,41.69999995902181,55.02489714622497
60,,,,,,,,,,,41.70000000819564,54.81534858345985
61,,,,,,,,,,,41.69999999199062,74.79767861366273
