51.9,51.2,50.7,50.3,50.2,50.2,50.2,50.2,50.2,50.2,50.0,49.9,49.7,49.6,49.7,49.6,49.0,48.3,47.5,46.8,45.9,45.2,44.4,43.7,42.9,42.4,42.3,42.5,42.8,42.8,42.9,43.0,49.81953125,49.81953125,50.7,50.3,50.2,50.2,50.2,50.2,50.2,49.81953125,50.0,49.9,49.7,49.6,49.81953125,49.81953125,49.0,48.3,49.81953125,46.8,45.9,49.81953125,44.4,49.81953125,49.81953125,49.81953125,42.3,42.5,49.81953125,49.81953125,42.9,49.81953125
43.3,43.4,44.0,44.5,49.2,51.9,54.0,55.8,54.8,49.5,47.0,45.9,45.3,44.3,43.8,43.1,43.0,42.6,61.9,51.3,50.2,48.6,47.6,48.2,48.9,49.9,50.7,52.1,56.0,59.4,62.7,65.6,49.81953125,49.81953125,49.81953125,44.5,49.2,51.9,54.0,49.81953125,54.8,49.81953125,47.0,49.81953125,49.81953125,44.3,43.8,43.1,43.0,49.81953125,61.9,51.3,50.2,49.81953125,47.6,48.2,48.9,49.81953125,49.81953125,52.1,49.81953125,59.4,49.81953125,65.6
67.7,69.7,71.6,73.2,74.9,76.2,77.4,78.1,78.8,79.1,79.6,79.7,79.9,80.0,80.0,80.0,80.0,79.9,79.9,79.9,79.7,79.7,79.7,51.8,39.7,31.5,28.9,43.8,50.0,53.7,56.4,58.2,67.7,49.81953125,71.6,73.2,74.9,49.81953125,77.4,78.1,49.81953125,79.1,49.81953125,79.7,79.9,80.0,80.0,49.81953125,49.81953125,79.9,49.81953125,49.81953125,49.81953125,79.7,49.81953125,51.8,39.7,31.5,28.9,43.8,49.81953125,53.7,49.81953125,49.81953125
60.0,61.3,62.2,63.5,64.1,64.8,65.6,65.7,66.2,66.6,67.0,67.3,67.6,67.7,67.7,67.8,68.2,68.2,68.5,68.4,68.4,68.6,68.6,36.9,31.2,28.0,26.4,26.3,26.3,26.5,27.3,28.1,60.0,61.3,62.2,63.5,49.81953125,49.81953125,65.6,65.7,66.2,49.81953125,67.0,67.3,49.81953125,49.81953125,49.81953125,49.81953125,68.2,68.2,68.5,68.4,68.4,68.6,68.6,36.9,49.81953125,28.0,49.81953125,49.81953125,26.3,49.81953125,49.81953125,49.81953125
29.2,30.1,30.9,31.6,32.3,33.0,34.0,35.2,36.4,37.6,38.5,39.3,39.9,40.5,41.1,41.6,41.8,42.4,42.6,43.1,43.7,45.1,46.9,48.7,51.8,54.0,55.6,57.2,58.4,59.6,60.4,61.6,49.81953125,49.81953125,30.9,31.6,32.3,33.0,34.0,49.81953125,49.81953125,37.6,38.5,49.81953125,39.9,40.5,41.1,49.81953125,49.81953125,42.4,42.6,49.81953125,43.7,45.1,46.9,49.81953125,49.81953125,49.81953125,49.81953125,57.2,58.4,59.6,60.4,49.81953125
62.0,62.5,62.7,62.9,63.0,63.3,63.2,63.2,63.2,63.3,63.2,63.0,62.9,62.9,62.7,62.7,62.3,62.2,61.9,61.4,60.8,60.3,59.3,58.2,57.0,55.7,53.9,49.9,49.5,47.3,43.4,41.7,62.0,49.81953125,62.7,62.9,63.0,63.3,49.81953125,49.81953125,63.2,63.3,49.81953125,63.0,62.9,49.81953125,62.7,62.7,62.3,62.2,61.9,49.81953125,49.81953125,60.3,59.3,49.81953125,57.0,55.7,49.81953125,49.81953125,49.81953125,49.81953125,43.4,49.81953125
40.5,37.7,36.0,34.8,33.4,32.1,30.8,30.7,30.3,30.2,30.1,30.2,30.0,30.0,54.9,54.5,54.7,55.6,57.4,59.3,61.3,63.2,64.9,69.5,73.7,77.4,79.6,81.1,82.3,82.6,80.2,78.1,49.81953125,49.81953125,36.0,34.8,49.81953125,32.1,30.8,49.81953125,49.81953125,30.2,49.81953125,49.81953125,49.81953125,30.0,54.9,54.5,49.81953125,55.6,57.4,59.3,61.3,49.81953125,64.9,69.5,73.7,49.81953125,49.81953125,81.1,49.81953125,82.6,80.2,78.1
76.0,65.2,59.7,54.7,51.7,48.4,44.8,43.5,39.1,38.2,36.6,36.7,35.2,34.4,34.7,33.3,34.0,33.2,33.6,33.2,33.0,33.7,34.4,33.5,35.1,34.0,34.7,36.2,37.4,38.7,38.9,39.7,49.81953125,49.81953125,59.7,54.7,51.7,49.81953125,44.8,49.81953125,49.81953125,38.2,49.81953125,49.81953125,49.81953125,34.4,34.7,33.3,34.0,49.81953125,33.6,33.2,49.81953125,49.81953125,34.4,33.5,35.1,34.0,34.7,49.81953125,37.4,38.7,49.81953125,39.7
40.1,40.5,40.9,41.2,41.7,42.4,42.5,42.8,42.9,43.8,43.9,44.0,44.1,44.7,45.3,46.3,48.3,50.2,51.9,53.3,53.9,55.6,57.3,58.8,59.9,61.0,61.5,62.3,62.8,63.2,61.3,56.7,49.81953125,49.81953125,40.9,41.2,41.7,49.81953125,42.5,49.81953125,42.9,43.8,49.81953125,49.81953125,49.81953125,44.7,49.81953125,46.3,48.3,49.81953125,51.9,49.81953125,53.9,49.81953125,49.81953125,49.81953125,59.9,61.0,61.5,62.3,62.8,63.2,61.3,56.7
55.7,53.4,50.9,47.4,46.2,44.3,43.0,41.0,38.9,38.0,36.5,35.5,33.3,32.9,32.2,31.5,31.6,31.9,31.8,31.1,31.4,31.3,32.0,31.9,32.2,32.4,33.1,33.5,33.8,33.1,35.4,35.8,55.7,53.4,50.9,49.81953125,46.2,49.81953125,43.0,49.81953125,38.9,38.0,36.5,49.81953125,49.81953125,32.9,32.2,31.5,49.81953125,49.81953125,49.81953125,31.1,31.4,49.81953125,32.0,31.9,49.81953125,32.4,33.1,33.5,33.8,49.81953125,49.81953125,49.81953125
